Price,Close,High,Low,Open,Volume
Ticker,KC=F,KC=F,KC=F,KC=F,KC=F
Date,,,,,
2000-01-01,111.0999984741211,126.0,110.5,124.0,120093
2000-02-01,99.9000015258789,114.5,98.0,110.5999984741211,98735
2000-03-01,103.69999694824219,109.0,100.25,101.25,39103
2000-04-01,95.30000305175781,103.69999694824219,91.94999694824219,103.5,96501
2000-05-01,93.0,104.69999694824219,90.3499984741211,99.0,62559
2000-06-01,84.8499984741211,97.25,84.0,94.0,98052
2000-07-01,86.44999694824219,119.0,79.75,85.4000015258789,39951
2000-08-01,74.5,87.75,73.5,86.5,68261
2000-09-01,83.0,84.4000015258789,72.19999694824219,75.5,51363
2000-11-01,67.19999694824219,75.94999694824219,67.1500015258789,75.0,75321
2000-12-01,65.55000305175781,69.0,61.54999923706055,68.19999694824219,37661
2001-01-01,63.75,72.5,62.0,65.25,128585
2001-02-01,63.900001525878906,65.5,59.25,64.0,62732
2001-03-01,60.29999923706055,66.80000305175781,58.849998474121094,64.25,42951
2001-05-01,57.150001525878906,66.80000305175781,57.099998474121094,62.5,53880
2001-06-01,56.099998474121094,61.70000076293945,54.099998474121094,58.25,70464
2001-08-01,50.5,54.900001525878906,48.099998474121094,51.70000076293945,100213
2001-09-01,48.29999923706055,50.400001525878906,46.25,50.0,25760
2001-10-01,43.900001525878906,48.0,42.20000076293945,47.75,95850
2001-11-01,42.599998474121094,50.0,41.900001525878906,43.70000076293945,83820
2001-12-01,46.20000076293945,50.0,41.5,42.5,49739
2002-01-01,45.099998474121094,51.599998474121094,44.5,45.75,125710
2002-02-01,44.75,50.5,42.70000076293945,44.25,84229
2002-03-01,57.20000076293945,57.400001525878906,44.95000076293945,45.0,55395
2002-04-01,50.70000076293945,59.70000076293945,48.5,56.5,107224
2002-05-01,51.900001525878906,53.099998474121094,46.75,50.5,41792
2002-06-01,46.5,52.0,46.099998474121094,52.0,77401
2002-07-01,46.79999923706055,51.900001525878906,46.5,46.5,36806
2002-08-01,51.5,51.75,46.0,46.5,90257
2002-10-01,65.94999694824219,73.5,54.25,54.25,168354
2002-11-01,66.5999984741211,69.0,62.75,65.3499984741211,87838
2003-01-01,65.30000305175781,69.5,60.25,60.5,142029
2003-02-01,56.849998474121094,67.25,56.79999923706055,64.9000015258789,92525
2003-03-01,58.650001525878906,61.5,55.29999923706055,56.5,49978
2003-04-01,68.25,68.25,57.0,58.75,121329
2003-05-01,58.349998474121094,70.0,58.099998474121094,68.69999694824219,89647
2003-07-01,63.45000076293945,64.0999984741211,58.0,59.0,85020
2003-08-01,61.45000076293945,66.75,59.0,64.0,100274
2003-09-01,62.900001525878906,70.75,60.5,61.900001525878906,66149
2003-10-01,58.650001525878906,66.9000015258789,58.599998474121094,63.5,214528
2003-11-01,57.75,61.20000076293945,56.400001525878906,59.0,115747
2003-12-01,64.94999694824219,65.0,57.599998474121094,57.900001525878906,52216
2004-01-01,75.5,79.19999694824219,64.0,64.75,262005
2004-03-01,73.75,78.0999984741211,70.8499984741211,74.80000305175781,99851
2004-04-01,67.1500015258789,74.4000015258789,66.80000305175781,74.0,136412
2004-05-01,85.55000305175781,86.5,67.0,67.5,148738
2004-06-01,73.0999984741211,86.1500015258789,70.5,85.5999984741211,150645
2004-07-01,66.44999694824219,74.30000305175781,66.19999694824219,72.9000015258789,82090
2004-09-01,82.3499984741211,86.4000015258789,67.0,70.0,115187
2004-10-01,74.4000015258789,81.30000305175781,71.9000015258789,81.25,202645
2004-11-01,94.44999694824219,96.5,73.80000305175781,75.0,148793
2004-12-01,103.75,108.69999694824219,91.0,94.5,83028
2005-01-01,105.3499984741211,106.25,95.0999984741211,103.5,209352
2005-02-01,119.1500015258789,124.0999984741211,103.30000305175781,104.25,164966
2005-03-01,126.4000015258789,137.0,118.75,119.5,105692
2005-04-01,125.1500015258789,132.25,109.75,126.4000015258789,173384
2005-06-01,104.6500015258789,126.75,101.69999694824219,118.75,166706
2005-07-01,103.1500015258789,107.25,94.1500015258789,106.5,62657
2005-08-01,97.75,108.5999984741211,91.5999984741211,103.0,155622
2005-09-01,93.44999694824219,101.94999694824219,84.44999694824219,99.75,27350
2005-10-01,96.6500015258789,106.80000305175781,91.5999984741211,93.5,189315
2005-11-01,93.0,108.5,92.25,97.4000015258789,145846
2005-12-01,107.0999984741211,108.4000015258789,90.75,92.5,70401
2006-02-01,111.80000305175781,120.19999694824219,103.80000305175781,118.5,144669
2006-03-01,107.0,113.30000305175781,102.80000305175781,111.5,95028
2006-04-01,107.19999694824219,113.9000015258789,103.80000305175781,106.5,155695
2006-05-01,98.94999694824219,111.5,97.0999984741211,108.5,90595
2006-06-01,99.5,103.0,94.5,98.55000305175781,160378
2006-07-01,99.3499984741211,103.0,93.5,100.0,87016
2006-08-01,104.0,109.5,97.5,98.75,205968
2006-09-01,107.6500015258789,108.5999984741211,98.0,103.30000305175781,78317
2006-11-01,119.69999694824219,121.5,107.4000015258789,108.0,201883
2006-12-01,126.19999694824219,129.75,118.5,120.5,77188
2007-01-01,117.6500015258789,125.9000015258789,115.30000305175781,124.30000305175781,216492
2007-02-01,117.69999694824219,120.0,112.75,118.30000305175781,171361
2007-03-01,109.25,117.80000305175781,107.44999694824219,117.0,101679
2007-05-01,111.9000015258789,114.05000305175781,100.3499984741211,102.05000305175781,94660
2007-06-01,111.0,118.4000015258789,109.25,111.9000015258789,237771
2007-08-01,112.6500015258789,121.9000015258789,110.94999694824219,113.80000305175781,252092
2007-09-01,128.64999389648438,135.0,112.5,112.80000305175781,148354
2007-10-01,121.3499984741211,140.8000030517578,119.80000305175781,130.0,308956
2007-11-01,125.94999694824219,127.5,118.0,121.80000305175781,182191
2007-12-01,136.1999969482422,137.0,124.5,125.4000015258789,63380
2008-01-01,138.14999389648438,139.39999389648438,129.6999969482422,136.0,287418
2008-02-01,164.60000610351562,169.60000610351562,137.14999389648438,137.60000610351562,258940
2008-03-01,127.4000015258789,166.35000610351562,125.8499984741211,165.25,134321
2008-04-01,134.5500030517578,140.64999389648438,126.19999694824219,127.0,215690
2008-05-01,133.89999389648438,142.0,128.0,133.5,115809
2008-07-01,139.35000610351562,153.75,133.9499969482422,151.14999389648438,74332
2008-08-01,141.89999389648438,147.85000610351562,131.1999969482422,139.5,206746
2008-09-01,130.4499969482422,143.60000610351562,126.80000305175781,139.5,92917
2008-10-01,113.0,131.89999389648438,105.05000305175781,131.10000610351562,229708
2008-11-01,114.0999984741211,118.5,106.25,114.0,148119
2008-12-01,112.05000305175781,113.19999694824219,101.69999694824219,113.1500015258789,32971
2009-01-01,118.9000015258789,123.4000015258789,106.05000305175781,111.8499984741211,188758
2009-04-01,115.0,120.30000305175781,110.80000305175781,115.55000305175781,146959
2009-05-01,137.39999389648438,138.85000610351562,119.75,119.9000015258789,78881
2009-06-01,117.30000305175781,142.89999389648438,115.0,137.0,164089
2009-07-01,127.8499984741211,128.0,111.5,118.05000305175781,87669
2009-08-01,120.9000015258789,138.60000610351562,118.5999984741211,128.14999389648438,150139
2009-09-01,127.80000305175781,138.3000030517578,119.19999694824219,120.69999694824219,78858
2009-10-01,135.5,145.39999389648438,125.9000015258789,127.5,230087
2009-12-01,135.9499969482422,149.1999969482422,135.8000030517578,142.5,55601
2010-01-01,131.6999969482422,146.9499969482422,131.60000610351562,136.0,226605
2010-02-01,129.0500030517578,135.9499969482422,126.5999984741211,132.0,204329
2010-03-01,136.14999389648438,139.0500030517578,126.55000305175781,129.64999389648438,113264
2010-04-01,135.1999969482422,139.85000610351562,128.60000610351562,136.5500030517578,155924
2010-05-01,134.25,138.39999389648438,130.25,136.1999969482422,99600
2010-06-01,164.1999969482422,175.0,132.5500030517578,134.0,221448
2010-07-01,176.3000030517578,178.75,155.0,164.3000030517578,110623
2010-09-01,183.0500030517578,194.85000610351562,178.25,181.39999389648438,105534
2010-10-01,203.4499969482422,204.60000610351562,171.60000610351562,183.64999389648438,249113
2010-11-01,200.9499969482422,218.6999969482422,192.8000030517578,202.8000030517578,221192
2010-12-01,240.5,242.25,200.0,200.1999969482422,61785
2011-01-01,244.8000030517578,250.75,226.5,239.0,238182
2011-02-01,271.70001220703125,277.0,245.35000610351562,245.5500030517578,168980
2011-03-01,264.1499938964844,294.70001220703125,257.79998779296875,273.70001220703125,88500
2011-04-01,299.3500061035156,301.04998779296875,254.0500030517578,265.5,188540
2011-06-01,265.3500061035156,273.79998779296875,239.64999389648438,264.25,179582
2011-07-01,239.5500030517578,269.70001220703125,237.1999969482422,263.20001220703125,104955
2011-08-01,289.1000061035156,286.1000061035156,231.35000610351562,240.60000610351562,197469
2011-09-01,228.89999389648438,291.75,228.5,285.8500061035156,134365
2011-10-01,226.9499969482422,252.5,219.8000030517578,228.5,261447
2011-11-01,233.8000030517578,240.0,220.4499969482422,226.39999389648438,177891
2011-12-01,226.85000610351562,235.6999969482422,213.39999389648438,233.1999969482422,47520
2012-02-01,203.14999389648438,222.4499969482422,195.89999389648438,214.5,182893
2012-03-01,182.4499969482422,203.14999389648438,174.4499969482422,203.14999389648438,138217
2012-05-01,160.64999389648438,182.89999389648438,160.14999389648438,176.0,127866
2012-06-01,170.10000610351562,168.60000610351562,148.1999969482422,160.64999389648438,182340
2012-08-01,164.5500030517578,177.85000610351562,157.39999389648438,174.64999389648438,190833
2012-09-01,173.5,182.64999389648438,157.10000610351562,164.4499969482422,108497
2012-10-01,154.64999389648438,185.4499969482422,154.39999389648438,172.85000610351562,320660
2012-11-01,142.10000610351562,156.39999389648438,132.25,154.64999389648438,218505
2012-12-01,143.8000030517578,149.25,133.5,140.10000610351562,70451
2013-01-01,146.9499969482422,157.89999389648438,142.60000610351562,145.0,360983
2013-02-01,142.64999389648438,149.8000030517578,135.89999389648438,146.9499969482422,245962
2013-03-01,137.14999389648438,146.89999389648438,132.0500030517578,143.5500030517578,117764
2013-04-01,134.9499969482422,143.5,131.75,137.14999389648438,329383
2013-05-01,127.05000305175781,147.64999389648438,125.05000305175781,136.0,150900
2013-06-01,120.0,129.89999389648438,116.9000015258789,127.05000305175781,274456
2013-07-01,118.5999984741211,132.14999389648438,117.4000015258789,120.5999984741211,148853
2013-08-01,112.0999984741211,124.5999984741211,112.0,118.75,275453
2013-10-01,105.4000015258789,117.94999694824219,105.25,113.9000015258789,265596
2013-11-01,110.25,111.8499984741211,100.94999694824219,105.4000015258789,278379
2014-01-01,125.19999694824219,125.94999694824219,110.19999694824219,111.05000305175781,351724
2014-02-01,179.8000030517578,180.35000610351562,125.0,125.0,358755
2014-03-01,177.89999389648438,207.5500030517578,166.0,180.5500030517578,145766
2014-04-01,203.0500030517578,215.6999969482422,167.89999389648438,177.0,256230
2014-05-01,177.5,203.9499969482422,170.8000030517578,203.9499969482422,109268
2014-07-01,195.0500030517578,196.39999389648438,157.8000030517578,172.25,118291
2014-08-01,195.75,207.39999389648438,178.64999389648438,194.85000610351562,240144
2014-09-01,193.35000610351562,204.6999969482422,176.1999969482422,200.10000610351562,112761
2014-10-01,188.0,225.5,185.64999389648438,194.0,343265
2014-11-01,186.64999389648438,199.75,181.10000610351562,188.9499969482422,214621
2014-12-01,166.60000610351562,188.25,164.0,187.5500030517578,65495
2015-01-01,161.89999389648438,184.89999389648438,158.6999969482422,165.0500030517578,349749
2015-04-01,136.5500030517578,147.35000610351562,131.9499969482422,133.39999389648438,263397
2015-05-01,126.1500015258789,143.85000610351562,123.55000305175781,137.0,184954
2015-06-01,130.64999389648438,138.85000610351562,124.80000305175781,128.1999969482422,315059
2015-07-01,125.25,130.3000030517578,119.8499984741211,130.14999389648438,152704
2015-08-01,120.55000305175781,139.0,117.0999984741211,125.0999984741211,350447
2015-09-01,121.3499984741211,123.3499984741211,113.05000305175781,119.55000305175781,144010
2015-10-01,120.94999694824219,137.60000610351562,116.30000305175781,121.30000305175781,375619
2015-12-01,126.69999694824219,126.80000305175781,115.6500015258789,116.30000305175781,104333
2016-01-01,116.3499984741211,126.30000305175781,111.05000305175781,126.1500015258789,359567
2016-02-01,112.6500015258789,124.0,112.25,115.80000305175781,323251
2016-03-01,127.44999694824219,136.39999389648438,111.3499984741211,114.30000305175781,177766
2016-04-01,120.8499984741211,130.0,119.05000305175781,127.3499984741211,295078
2016-06-01,144.10000610351562,146.0500030517578,120.8499984741211,121.5,396497
2016-07-01,146.1999969482422,153.0500030517578,139.0500030517578,143.4499969482422,149279
2016-08-01,145.89999389648438,146.14999389648438,134.89999389648438,145.0,307690
2016-09-01,151.5500030517578,160.89999389648438,147.0,150.75,185482
2016-10-01,164.14999389648438,166.89999389648438,145.1999969482422,151.10000610351562,419899
2016-11-01,147.5,176.0,147.39999389648438,163.25,369859
2016-12-01,137.0500030517578,147.89999389648438,132.85000610351562,147.64999389648438,114260
2017-02-01,140.6999969482422,151.6999969482422,138.60000610351562,149.5500030517578,265035
2017-03-01,139.3000030517578,144.6999969482422,136.1999969482422,140.1999969482422,129436
2017-04-01,131.0500030517578,143.6999969482422,126.69999694824219,138.8000030517578,279790
2017-05-01,129.35000610351562,135.0,127.1500015258789,134.64999389648438,141744
2017-06-01,124.05000305175781,130.0,113.0,129.5,321155
2017-07-01,139.25,139.35000610351562,125.0,125.8499984741211,176890
2017-08-01,128.14999389648438,143.75,125.5,139.25,310483
2017-09-01,128.0500030517578,141.35000610351562,125.94999694824219,128.89999389648438,167789
2017-11-01,126.30000305175781,130.3000030517578,121.1500015258789,124.69999694824219,366276
2017-12-01,126.19999694824219,128.0,116.9000015258789,126.94999694824219,138718
2018-01-01,121.8499984741211,131.35000610351562,119.5999984741211,126.0,533875
2018-02-01,121.05000305175781,124.4000015258789,116.5,121.69999694824219,322578
2018-03-01,118.1500015258789,122.0,116.5,121.3499984741211,162019
2018-05-01,123.69999694824219,124.05000305175781,112.44999694824219,122.8499984741211,215754
2018-06-01,111.5,124.94999694824219,112.0,123.9000015258789,426085
2018-08-01,98.0999984741211,110.4000015258789,95.44999694824219,109.69999694824219,470939
2018-09-01,102.44999694824219,103.44999694824219,92.0,96.3499984741211,195067
2018-10-01,112.69999694824219,125.5,101.0999984741211,102.1500015258789,785177
2018-11-01,103.25,121.30000305175781,104.0,113.05000305175781,379992
2018-12-01,101.8499984741211,104.0,95.75,103.5,125435
2019-01-01,105.9000015258789,107.1500015258789,99.3499984741211,101.5999984741211,473792
2019-02-01,95.19999694824219,107.0,93.5999984741211,106.1500015258789,350231
2019-03-01,94.5,97.5,92.5999984741211,97.5,209028
2019-04-01,91.8499984741211,96.94999694824219,86.3499984741211,94.05000305175781,516692
2019-05-01,104.5999984741211,105.30000305175781,86.75,91.69999694824219,315845
2019-06-01,108.25,109.0,94.0,104.8499984741211,460311
2019-07-01,99.6500015258789,113.05000305175781,98.0999984741211,112.55000305175781,216412
2019-08-01,93.5999984741211,98.94999694824219,89.5999984741211,97.8499984741211,334976
2019-10-01,101.94999694824219,102.9000015258789,92.19999694824219,101.05000305175781,553713
2019-11-01,118.55000305175781,118.0,101.0999984741211,102.1500015258789,422648
2020-01-01,102.6500015258789,130.9499969482422,100.1500015258789,129.5500030517578,480506
2020-02-01,110.0999984741211,111.5,97.4000015258789,102.0,339189
2020-04-01,104.6500015258789,122.0,102.6500015258789,117.75,202888
2020-05-01,96.30000305175781,109.4000015258789,0.0,104.25,164157
2020-06-01,100.05000305175781,101.44999694824219,92.69999694824219,95.8499984741211,290449
2020-07-01,118.94999694824219,119.4000015258789,95.44999694824219,102.80000305175781,231822
2020-08-01,129.8000030517578,130.8000030517578,109.69999694824219,118.19999694824219,293812
2020-09-01,110.94999694824219,134.5,108.30000305175781,132.25,200060
2020-10-01,104.4000015258789,113.3499984741211,102.94999694824219,110.94999694824219,388627
2020-12-01,128.25,129.0,114.75,120.19999694824219,123124
